Participant,Norm,High
0,9.833333333333334,14.166666666666666
1,4.833333333333333,14.333333333333334
2,4.5,12.5
3,9.166666666666666,14.0
4,5.166666666666667,11.166666666666666
5,1.6666666666666667,6.333333333333333
6,6.333333333333333,14.666666666666666
7,10.666666666666666,12.666666666666666
8,5.833333333333333,10.166666666666666
9,3.5,6.5
10,7.0,9.333333333333334
11,8.0,10.833333333333334
12,6.5,10.0
13,7.833333333333333,10.5
14,6.666666666666667,10.333333333333334
15,8.5,11.333333333333334
16,7.833333333333333,9.166666666666666
17,8.666666666666666,10.333333333333334
18,10.0,11.666666666666666
19,5.833333333333333,6.833333333333333
20,3.3333333333333335,7.5
